survey id,# replicates surveyed,grid cell label,start date,observation,replicate #,sumatragridmrgd2_centroids_srtm_srtm_1,sumatragridmrgd2_centroids_hii_hii_1
SumatraSurvey10,"19",N32W43,1/1/2008,"1","4",16.000000000000000,15.052433013916016
SumatraSurvey10,"28",N33W36,1/1/2008,"1","16",834.000000000000000,2.250060081481934
SumatraSurvey10,"33",N33W38,1/1/2008,"1","4",1369.000000000000000,4.000000000000000
SumatraSurvey10,"33",N33W38,1/1/2008,"1","18",1369.000000000000000,4.000000000000000
SumatraSurvey10,"38",N33W39,1/1/2008,"1","1",1620.000000000000000,3.250087738037109
SumatraSurvey10,"38",N33W39,1/1/2008,"1","7",1620.000000000000000,3.250087738037109
SumatraSurvey10,"38",N33W39,1/1/2008,"1","8",1620.000000000000000,3.250087738037109
SumatraSurvey10,"38",N33W39,1/1/2008,"1","9",1620.000000000000000,3.250087738037109
SumatraSurvey10,"38",N33W39,1/1/2008,"1","10",1620.000000000000000,3.250087738037109
SumatraSurvey10,"38",N33W39,1/1/2008,"1","11",1620.000000000000000,3.250087738037109
SumatraSurvey10,"38",N33W39,1/1/2008,"1","17",1620.000000000000000,3.250087738037109
SumatraSurvey10,"38",N33W39,1/1/2008,"1","18",1620.000000000000000,3.250087738037109
SumatraSurvey10,"23",N33W40,1/1/2008,"1","1",640.000000000000000,11.339466094970703
SumatraSurvey10,"23",N33W40,1/1/2008,"1","4",640.000000000000000,11.339466094970703
SumatraSurvey10,"28",N33W41,1/1/2008,"1","8",1243.000000000000000,3.250298023223877
SumatraSurvey10,"28",N33W41,1/1/2008,"1","14",1243.000000000000000,3.250298023223877
SumatraSurvey10,"31",N33W42,1/1/2008,"1","14",933.000000000000000,5.000000000000000
SumatraSurvey10,"31",N33W42,1/1/2008,"1","15",933.000000000000000,5.000000000000000
SumatraSurvey10,"31",N33W42,1/1/2008,"1","16",933.000000000000000,5.000000000000000
SumatraSurvey10,"31",N33W42,1/1/2008,"1","17",933.000000000000000,5.000000000000000
SumatraSurvey10,"31",N33W42,1/1/2008,"1","20",933.000000000000000,5.000000000000000
SumatraSurvey10,"31",N33W42,1/1/2008,"1","24",933.000000000000000,5.000000000000000
SumatraSurvey10,"13",N33W43,1/1/2008,"0","1",424.000000000000000,3.250113725662231
SumatraSurvey10,"37",N33W44,1/1/2008,"1","14",0.000000000000000,nan
SumatraSurvey10,"37",N33W44,1/1/2008,"1","15",0.000000000000000,nan
SumatraSurvey10,"21",N34W36,1/1/2008,"0","1",30.000000000000000,15.320698738098145
SumatraSurvey10,"39",N34W37,1/1/2008,"1","22",101.000000000000000,15.318286895751953
SumatraSurvey10,"28",N34W38,1/1/2008,"1","2",138.000000000000000,7.259345054626465
SumatraSurvey10,"28",N34W38,1/1/2008,"1","16",138.000000000000000,7.259345054626465
SumatraSurvey10,"30",N34W39,1/1/2008,"0","1",398.000000000000000,6.250060081481934
SumatraSurvey10,"29",N34W40,1/1/2008,"1","10",542.000000000000000,13.262444496154785
SumatraSurvey10,"29",N34W40,1/1/2008,"1","11",542.000000000000000,13.262444496154785
SumatraSurvey10,"29",N34W40,1/1/2008,"1","13",542.000000000000000,13.262444496154785
SumatraSurvey10,"36",N34W42,1/1/2008,"1","2",1492.000000000000000,4.000000000000000
SumatraSurvey10,"36",N34W42,1/1/2008,"1","21",1492.000000000000000,4.000000000000000
SumatraSurvey10,"21",N34W44,1/1/2008,"1","10",19.000000000000000,15.071489334106445
SumatraSurvey10,"33",N35W41,1/1/2008,"1","18",270.000000000000000,7.285611152648926
SumatraSurvey10,"33",N35W41,1/1/2008,"1","19",270.000000000000000,7.285611152648926
SumatraSurvey10,"33",N35W41,1/1/2008,"1","20",270.000000000000000,7.285611152648926
SumatraSurvey10,"36",N35W42,1/1/2008,"1","13",113.000000000000000,14.728223800659180
SumatraSurvey10,"36",N35W42,1/1/2008,"1","18",113.000000000000000,14.728223800659180
SumatraSurvey10,"33",N35W43,1/1/2008,"1","9",235.000000000000000,14.251984596252441
SumatraSurvey10,"30",N36W41,1/1/2008,"0","1",230.000000000000000,16.002014160156250
SumatraSurvey10,"35",N36W42,1/1/2008,"0","1",1343.000000000000000,5.273260116577148
SumatraSurvey10,"22",N36W43,1/1/2008,"1","11",64.000000000000000,15.415076255798340
SumatraSurvey10,"22",N36W43,1/1/2008,"1","13",64.000000000000000,15.415076255798340
SumatraSurvey10,"30",N36W44,1/1/2008,"0","1",203.000000000000000,17.630235671997070
SumatraSurvey10,"40",S01E04,1/1/2008,"1","35",22.000000000000000,3.000000000000000
SumatraSurvey10,"40",S01W02,1/1/2008,"0","1",82.000000000000000,3.257526397705078
SumatraSurvey10,"40",S01W03,1/1/2008,"0","1",89.000000000000000,2.250462770462036
SumatraSurvey10,"40",S02E04,1/1/2008,"1","21",37.000000000000000,3.250194549560547
SumatraSurvey10,"40",S02E04,1/1/2008,"1","22",37.000000000000000,3.250194549560547
SumatraSurvey10,"40",S02E04,1/1/2008,"1","25",37.000000000000000,3.250194549560547
SumatraSurvey10,"40",S02E04,1/1/2008,"1","28",37.000000000000000,3.250194549560547
SumatraSurvey10,"40",S02E04,1/1/2008,"1","30",37.000000000000000,3.250194549560547
SumatraSurvey10,"40",S02W01,1/1/2008,"1","15",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","16",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","17",68.000000000000000,8.250246047973633
